"rate","prov","temp","stage","count"
0.0158646359594842,"ip",5,"L2",1
0.0195865730311892,"ip",5,"L2",1
0.0205717327411521,"ip",5,"L2",1
0.0208576285726359,"ip",5,"L2",1
0.02151858686694,"ip",5,"L2",1
0.0219834274633034,"ip",5,"L2",1
0.0222758147276043,"ip",5,"L2",1
0.0232049041809189,"ip",5,"L2",1
0.023619055560343,"ip",5,"L2",1
0.0242117754790292,"ip",5,"L2",1
0.0244762969124073,"ip",5,"L2",1
0.0262911239870426,"ip",5,"L2",1
0.0268569499574101,"ip",5,"L2",1
0.0269186102558757,"ip",5,"L2",1
0.0279151919764555,"ip",5,"L2",1
0.0290132137986859,"ip",5,"L2",1
0.0291173832229009,"ip",5,"L2",1
0.0298469362671401,"ip",5,"L2",1
0.0303457276023308,"ip",5,"L2",1
0.0305507015519477,"ip",5,"L2",1
0.0311861950875443,"ip",5,"L2",1
0.0317899815446574,"ip",5,"L2",1
0.0321956560994183,"ip",5,"L2",1
0.0323896042625593,"ip",5,"L2",1
0.0330122516879217,"ip",5,"L2",1
0.0332653364653513,"ip",5,"L2",1
0.0336961933934361,"ip",5,"L2",1
0.0340477557826543,"ip",5,"L2",1
0.0345119757231859,"ip",5,"L2",1
0.0346875147316917,"ip",5,"L2",1
0.0350090138187916,"ip",5,"L2",1
0.0352428571023087,"ip",5,"L2",1
0.0357453773237447,"ip",5,"L2",1
0.0362142290255803,"ip",5,"L2",1
0.0366617190535825,"ip",5,"L2",1
0.037097989147551,"ip",5,"L2",1
0.0375315473464916,"ip",5,"L2",1
0.0379707984993439,"ip",5,"L2",1
0.038425711780607,"ip",5,"L2",1
0,"in",5,"L2",4
0.000292292322571503,"in",5,"L2",1
0.00110413123871282,"in",5,"L2",1
0.00139578917649785,"in",5,"L2",1
0.00162112464236901,"in",5,"L2",1
0.00166043558483971,"in",5,"L2",1
0.00193170273640589,"in",5,"L2",1
0.00194036619786305,"in",5,"L2",1
0.00221254757189814,"in",5,"L2",1
0.0025036087992104,"in",5,"L2",1
0.00260039637124616,"in",5,"L2",1
0.00273527270810716,"in",5,"L2",1
0.00280695899380084,"in",5,"L2",1
0.00283278470791041,"in",5,"L2",1
0.00312865001280828,"in",5,"L2",1
0.00341489813377834,"in",5,"L2",1
0.00346969423729939,"in",5,"L2",1
0.00347860177491053,"in",5,"L2",1
0.00382322409053197,"in",5,"L2",1
0.00383984224772052,"in",5,"L2",1
0.00424493591642837,"in",5,"L2",1
0.00442198637250794,"in",5,"L2",1
0.00444224929423692,"in",5,"L2",1
0.00469858352091795,"in",5,"L2",1
0.00497955855383673,"in",5,"L2",1
0.00521943984531358,"in",5,"L2",1
0.00582309576991312,"in",5,"L2",1
